trades,final_equity,total_return,cagr,max_drawdown,sharpe,sortino,calmar,win_rate,profit_factor,avg_r,expectancy_r,best_r,worst_r,total_fees,total_funding,avg_bars_held,liquidations,exposure,tf,entry_window,atr_stop_mult,trail_mult,regime_ema,vol_target,_risk,_lev
221,75342.7658102356,6.534276581023561,0.2540126275182817,-0.18534728874499157,1.2317220339968895,0.9497709172258374,1.3704685363256794,0.3665158371040724,1.6658741817936138,0.5196854270293044,0.5196854270293044,17.99174956742042,-1.2900300374782288,7480.5847288326695,9796.25494250629,23.923076923076923,0,0.27058703106607296,4h,20,2.0,3.5,200,0.0,0.02,3.0
185,432048.33991836617,42.204833991836615,0.5251628930654686,-0.3843223872240405,1.3617598875609835,1.052763064619663,1.366464485347103,0.2972972972972973,1.629274958382038,0.8712713350885415,0.8712713350885415,30.0352654971837,-1.2964813488649076,51486.36779985667,84820.24901060647,35.616216216216216,0,0.3372229899176007,4h,30,2.0,5.0,100,0.6,0.02,3.0
221,189487.64354986584,17.948764354986583,0.390579332879907,-0.2875556328995913,1.2730542534356606,0.9770848326515706,1.3582739762092906,0.3665158371040724,1.5781634693738418,0.5196854270293044,0.5196854270293044,17.991749567420424,-1.2900300374782283,25772.528041450427,26624.64338916586,23.923076923076923,0,0.27058703106607296,4h,20,2.0,3.5,200,0.6,0.02,3.0
166,234168.33337522653,22.416833337522654,0.4239723113309486,-0.31328055873442756,1.312421078433489,1.0436267277075677,1.353331062239186,0.3313253012048193,1.710333041313753,0.8008287408556175,0.8008287408556175,25.47125319835535,-1.198177506005811,21162.92446857833,41136.3484023997,42.626506024096386,0,0.36214749987205075,4h,20,2.5,5.0,200,0.6,0.02,3.0
151,80284.07274973586,7.028407274973587,0.2629729577793818,-0.19871715083816177,1.2499897692421682,0.9252303264198716,1.3233531009789432,0.3509933774834437,1.9370105895939638,0.8287186676855033,0.8287186676855033,25.471253198355345,-1.1621579872395253,4561.272589698157,11436.811404321026,41.0728476821192,0,0.3174164491529761,4h,30,2.5,5.0,200,0.0,0.02,3.0
147,89848.76171872045,7.984876171872045,0.2790072230271923,-0.21125593590033082,1.1943740168194608,0.8415379149108552,1.3207071405502475,0.30612244897959184,1.9323991951566988,0.9187115961884726,0.9187115961884726,31.658309513507632,-1.2131862899729149,5869.984379425437,13280.807996764484,36.72108843537415,0,0.2762679768667793,4h,55,2.0,5.0,100,0.0,0.02,3.0
205,43032.84147763121,3.3032841477631214,0.17771048344197848,-0.13477184165921596,1.239005688791866,0.9705816287030334,1.318602471066153,0.4097560975609756,1.8033893113673072,0.38811296312637156,0.38811296312637156,12.109075937802526,-1.1440453091118183,2848.8183347827558,4339.50300397044,27.341463414634145,0,0.286862173089718,4h,20,3.0,3.5,200,0.0,0.02,3.0
205,92996.87121431321,8.29968712143132,0.2839536474132356,-0.2199515007427209,1.2732263947176397,0.9919731014169436,1.2909829960441075,0.4097560975609756,1.790065474456871,0.3881129631263715,0.3881129631263715,12.109075937802523,-1.1440453091118183,8057.408344724467,9817.915202907336,27.341463414634145,0,0.286862173089718,4h,20,3.0,3.5,200,0.6,0.02,3.0
193,69568.15513848905,5.9568155138489045,0.24285463720321987,-0.19019303220845105,1.2305221518134157,0.8845550884259221,1.2768850382334294,0.3626943005181347,1.771150411634073,0.5676940592409879,0.5676940592409879,17.991749567420417,-1.2900300374782285,5942.804002672065,8387.765985280963,23.979274611398964,0,0.2368596141051231,4h,30,2.0,3.5,200,0.0,0.02,3.0
185,135226.93377269065,12.522693377269066,0.33897833728609417,-0.26749215381871233,1.2972038532962036,1.0068273074464729,1.267245907765318,0.2972972972972973,1.7843724615080592,0.8712713350885416,0.8712713350885416,30.0352654971837,-1.2964813488649074,11125.788470639793,22503.179160474734,35.616216216216216,0,0.3372229899176007,4h,30,2.0,5.0,100,0.0,0.02,3.0
